Title,No_rooms,No_Baths,Type,Address,size,price,latitudes,longitudes,Garden,Pool,SeaView,Roof,Compound
0% down payment over 8.5 years fully finished,1,1,1,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",69,100000,30.00018,31.552691,0,0,0,0,0
0% down payment over 8.5 years fully finished,1,1,1,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",69,100000,30.048424,31.630369,0,0,0,0,0
"1 bed 70 M apartment at prime location 190,000 DP",1,1,1,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",70,100000,30.006904,31.059333,0,0,0,0,0
Own your apartment now with 5% DP over 8Y,1,1,1,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",74,100000,30.06147,31.511394,0,0,0,0,0
"100,000downpayment|7 years installment|ready2023",2,1,1,"ECO West, 6 October Compounds, 6 October City, Giza",85,100000,29.994147,30.901733,0,0,0,0,0
Fully Finished Apartment And Kitchen At Atika 5%dp,1,2,1,"Atika, New Capital Compounds, New Capital City, Cairo",91,100000,30.010928,31.496622,0,0,0,0,0
Fully Finished Apartment And Kitchen At Atika 5%dp,1,3,1,"Atika, New Capital Compounds, New Capital City, Cairo",91,100000,30.012272,31.579515,0,0,0,0,0
"Investment opportunity, EVER, directly 26th July Corridor",4,4,1,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",100,100000,30.011623,31.087411,0,0,0,0,0
5% Down Payment and Remaining Over 9 years,2,2,1,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",124,100000,30.011169,31.516116,0,0,0,0,0
home for sale,3,2,1,"True, Nasr City Compounds, Nasr City, Cairo",124,100000,30.018945,31.533141,0,0,0,0,0
Apartment in a prime location 0% d.p over 10 years,2,2,1,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",125,100000,30.040566,30.990543,0,0,0,0,0
5% Down Payment and Remaining Over 9 years,2,2,1,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",125,100000,30.00575,31.533998,0,0,0,0,0
Stunning Offer Apartment 5%Dp at Vinci Up To 9Yrs,3,0,1,"Vinci, New Capital Compounds, New Capital City, Cairo",132,100000,29.975822,31.565405,0,0,0,0,0
Stunning Offer Apartment 5%Dp at Vinci Up To 9Yrs,3,2,1,"Vinci, New Capital Compounds, New Capital City, Cairo",132,100000,30.012272,31.579515,0,0,0,0,0
